source,target,weight
Polo & Pan,Papooz,0.56624375
Polo & Pan,Lewis OfMan,0.69002125
Polo & Pan,Kazy Lambist,0.67734625
Polo & Pan,Agar Agar,0.66294875
Polo & Pan,Vendredi sur Mer,0.56422125
Polo & Pan,Bleu Toucan,0.68084125
Polo & Pan,Her,0.6550625
Polo & Pan,Pépite,0.66779875
Polo & Pan,Claire Laffut,0.65937375
Polo & Pan,Flavien Berger,0.552994
Polo & Pan,French 79,0.66119525
Polo & Pan,L'Impératrice,0.64650375
Polo & Pan,The Blaze,0.65622925
Polo & Pan,Fakear,0.68502625
Polo & Pan,Møme,0.5670095
Polo & Pan,Muddy Monk,0.54867375
Polo & Pan,Les Gordon,0.67806675
Polo & Pan,Alice et Moi,0.57953375
Polo & Pan,Voyou,0.55959875
Polo & Pan,Juniore,0.58051325
Rilès,KIKESA,0.871415
Rilès,Lorenzo,0.874625
Rilès,Lonepsi,0.8518525
Rilès,Spider ZED,0.86252
Rilès,Bigflo & Oli,0.38537
Rilès,Caballero & JeanJass,0.87672
Rilès,Lord Esperanza,0.8785875
Rilès,Casseurs Flowters,0.86977875
Rilès,Roméo Elvis,0.8711825
Rilès,PRIME,0.8928425
Rilès,Columbine,0.8736025
Rilès,Scylla,0.86632
Rilès,L'Or du Commun,0.88588
Rilès,Sopico,0.864285
Rilès,Lomepal,0.8863575
Rilès,Chilla,0.37665
Rilès,Davodka,0.86603
Rilès,Sneazzy,0.87107875
Rilès,Hugo TSR,0.88732
Rilès,Swing,0.8733725
Young Thug,NAV,0.671313036
Young Thug,Quavo,0.727305357
Young Thug,Don Toliver,0.530313393
Young Thug,Gunna,0.757315357
Young Thug,21 Savage,0.592121964
Young Thug,A$AP Mob,0.582025714
Young Thug,Huncho Jack,0.649933036
Young Thug,Migos,0.576035714
Young Thug,Metro Boomin,0.593124464
Young Thug,A$AP Ferg,0.573455714
Young Thug,Rae Sremmurd,0.650720536
Young Thug,Lil Yachty,0.735037857
Young Thug,Desiigner,0.509629643
Young Thug,Kodak Black,0.677729286
Young Thug,88GLAM,0.596894464
Young Thug,Famous Dex,0.499212143
Young Thug,Mike WiLL Made-It,0.661729286
Young Thug,Young Nudy,0.590060714
Young Thug,Lil Uzi Vert,0.598625714
Young Thug,Sheck Wes,0.500182143
A Boogie Wit da Hoodie,PnB Rock,0.85708125
A Boogie Wit da Hoodie,YNW Melly,0.699510833
A Boogie Wit da Hoodie,Quavo,0.865715
A Boogie Wit da Hoodie,Lil Yachty,0.8723725
A Boogie Wit da Hoodie,Fivio Foreign,0.711288333
A Boogie Wit da Hoodie,Lil Tjay,0.530164167
A Boogie Wit da Hoodie,Yungeen Ace,0.696803333
A Boogie Wit da Hoodie,Sheff G,0.378075
A Boogie Wit da Hoodie,Flipp Dinero,0.885405
A Boogie Wit da Hoodie,Tee Grizzley,0.698535833
A Boogie Wit da Hoodie,YoungBoy Never Broke Again,0.546439167
A Boogie Wit da Hoodie,YK Osiris,0.717898333
A Boogie Wit da Hoodie,NAV,0.87059875
A Boogie Wit da Hoodie,Quando Rondo,0.699670833
A Boogie Wit da Hoodie,Gunna,0.88056
A Boogie Wit da Hoodie,Tay-K,0.690234583
A Boogie Wit da Hoodie,Speaker Knockerz,0.87648
A Boogie Wit da Hoodie,Lil Mosey,0.8827525
A Boogie Wit da Hoodie,Young Thug,0.87964
A Boogie Wit da Hoodie,J.I the Prince of N.Y,0.37181125
Anderson .Paak,GoldLink,0.35801
Anderson .Paak,NxWorries,0.37117
Anderson .Paak,Noname,0.904695
Anderson .Paak,Rejjie Snow,0.3667675
Anderson .Paak,BJ The Chicago Kid,0.3672875
Anderson .Paak,Mick Jenkins,0.385045
Anderson .Paak,Buddy,0.3710425
Anderson .Paak,SiR,0.37884
Anderson .Paak,Phony Ppl,0.3589225
Anderson .Paak,Rapsody,0.889335
Anderson .Paak,D'Angelo,0.3486875
Anderson .Paak,Terrace Martin,0.39506
Anderson .Paak,Free Nationals,0.3634925
Anderson .Paak,EARTHGANG,0.3980175
Anderson .Paak,The Internet,0.8677975
Anderson .Paak,Saba,0.364985
Anderson .Paak,Smino,0.3635125
Anderson .Paak,Rachel Bloom,0.38501
