,artist,song_name,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key,popularity,release_date,artist_id
0,Chill Children,Pounds,16TmFbChPRVzNZOlGylxDS,0.853,0.124,110.007,0.0385,0.0697,0.626,0.829,144102,-10.153,0.387,1,2,46,2018-07-14,1HIUSy6Z18XvHfvsGPSWYx
1,Kid Cudi,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg,0.727,0.164,152.058,0.0866,0.239,0.0277,0.589,242267,-6.907,0.52,0,10,65,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
2,Kid Cudi,Tequila Shots,30KctD1WsHKTIYczXjip5a,0.556,0.527,90.494,0.0531,0.084,5.04e-05,0.712,193293,-7.214,0.22,0,5,78,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
3,Kid Cudi,Another Day,6myUpr3GDR80Dg3zqNTmmG,0.758,0.335,172.995,0.0708,0.556,0.00316,0.646,199787,-7.75,0.0642,0,4,67,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
4,Kid Cudi,Elsie's Baby Boy (flashback),6jiwr6xTHqjdun5d3cEwXV,0.663,0.366,95.158,0.0384,0.208,0.377,0.615,219213,-7.812,0.128,0,2,59,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
6,Kid Cudi,She Knows This,1xzUQMiCoY5pdego0pHMeV,0.724,0.393,165.945,0.0889,0.162,0.0,0.39,216560,-7.607,0.312,0,6,67,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
7,Kid Cudi,Dive,7Hc3YL8oDiAzbiAW32KXrw,0.621,0.36,123.105,0.0679,0.67,0.0,0.64,148707,-8.269,0.332,0,9,63,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
8,Kid Cudi,Damaged,2n7Ao4nyESBa5ti8gcAbBt,0.581,0.254,142.04,0.0316,0.553,0.00111,0.625,150853,-7.1,0.267,1,8,61,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
9,Kid Cudi,Heaven On Earth,2koUj1Fn5TKFEkChSmBPIb,0.61,0.0765,130.036,0.0558,0.379,0.00082,0.786,201093,-6.736,0.228,1,0,62,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
10,Kid Cudi,Show Out (with Skepta & Pop Smoke),5CFJRZRq6sdKKtRwNPWbYv,0.589,0.378,143.896,0.124,0.43,0.000392,0.619,174960,-6.531,0.158,1,1,76,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
12,Kid Cudi,Sad People,4nuAslShoN77tq12fzwjUq,0.647,0.113,158.073,0.0381,0.247,0.00123,0.636,176027,-6.971,0.416,0,5,69,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
14,Kid Cudi,Sept. 16,3Uw2se3aQU1UFrpRBvBnB4,0.645,0.137,140.987,0.0338,0.764,0.114,0.646,249040,-7.214,0.473,0,4,62,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
15,Kid Cudi,The Void,2yg7MXp8nSPaf61HVkhEr3,0.459,0.117,142.017,0.0314,0.365,0.28,0.464,325413,-8.736,0.0786,0,7,66,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
16,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),3JdwGk8j7lHN5qdzJZklam,0.605,0.157,141.527,0.0415,0.152,0.000845,0.604,165893,-7.861,0.168,1,1,63,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
17,Kid Cudi,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R,0.807,0.209,160.009,0.252,0.455,6.6e-05,0.576,176293,-7.733,0.612,0,7,61,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
18,Ramirez,94.6 Kys Fm,0drEzR8tlPUyKeK4600AD1,0.834,0.0813,103.588,0.0784,0.368,5.62e-06,0.795,111309,-4.849,0.863,0,10,50,2018-06-04,3H6CaRooDAoCeRCpYwOXj2
19,Lucian,Money on Your Mind,2L3Is8ZtUJ48PIUJVO7Gvv,0.441,0.101,144.496,0.124,0.455,0.213,0.793,103059,-8.718,0.461,1,0,46,2019-06-26,5CVsjwjuzUOrlEc2OJbUg4
20,Keys N Krates,Evening at the Beach,6p5J7phoR7n1QnNevJcWvT,0.808,0.419,89.993,0.0616,0.00359,0.9,0.668,192515,-4.084,0.237,0,8,40,2019-07-11,6c1pBXHYjFcGQQNO5MMsdd
21,Allan Kingdom,Fuck My Enemies,0DLcjcjvUywWkPYseSdg7J,0.644,0.122,160.058,0.102,0.0226,1.04e-06,0.704,216959,-5.543,0.273,1,0,42,2017-04-07,1tUALn7PEhW7LpMuxvat2x
22,Lil Nas X,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma,0.742,0.135,133.989,0.247,0.397,0.0,0.847,148653,-5.515,0.56,0,8,65,2019-06-21,7jVv8c5Fj3E9VhNjxT4snq
24,Tjuvjakt,Follow The Sun,029EUKiyaj03aIrcEKzP2l,0.794,0.262,89.254,0.178,0.288,1.05e-06,0.496,159091,-4.469,0.186,1,8,34,2013-10-09,0XDfNJsQy7B3q0GfsMHSkp
25,Dilip,Cautious,1p7XRuOsf3SSibCoVTrNvJ,0.438,0.113,161.945,0.242,0.298,4.38e-06,0.774,130370,-9.883,0.416,1,1,44,2018-09-05,5PcwbyuOX1pnaeVYatEEB2
26,Psymun,NIGHT OWL,6Y9JFYyGCcD34RJ7gTMcQM,0.728,0.592,74.896,0.254,0.618,0.0,0.451,120067,-4.291,0.892,0,2,37,2018-08-09,5gVgcz9X3QcrcrrDXR56NP
27,ATM Curly,Ride With Me,2foDaqiGEPFeYN2ecxLHZU,0.513,0.21,119.99,0.103,0.176,0.0724,0.937,246256,-10.49,0.443,0,11,51,2019-05-16,5tPP1KPzg8aboY2pZz5mQN
