artist_name,end_time,ms_played,track_name,track_id
Chill Children,07/12/2020 8:50,32252,Pounds,16TmFbChPRVzNZOlGylxDS
Kid Cudi,13/12/2020 12:27,242266,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Kid Cudi,13/12/2020 12:31,193293,Tequila Shots,30KctD1WsHKTIYczXjip5a
Kid Cudi,13/12/2020 12:37,199786,Another Day,6myUpr3GDR80Dg3zqNTmmG
Kid Cudi,13/12/2020 12:38,15829,Another Day,
Kid Cudi,13/12/2020 12:38,76506,Elsie's Baby Boy (flashback),6jiwr6xTHqjdun5d3cEwXV
Kid Cudi,13/12/2020 12:44,199786,Another Day,6myUpr3GDR80Dg3zqNTmmG
Kid Cudi,13/12/2020 12:48,216560,She Knows This,1xzUQMiCoY5pdego0pHMeV
Kid Cudi,13/12/2020 12:50,148706,Dive,7Hc3YL8oDiAzbiAW32KXrw
Kid Cudi,13/12/2020 12:53,150853,Damaged,2n7Ao4nyESBa5ti8gcAbBt
Kid Cudi,13/12/2020 12:56,201093,Heaven On Earth,2koUj1Fn5TKFEkChSmBPIb
Kid Cudi,13/12/2020 12:58,107673,Show Out (with Skepta & Pop Smoke),5CFJRZRq6sdKKtRwNPWbYv
Kid Cudi,13/12/2020 13:02,242266,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Kid Cudi,13/12/2020 13:05,176026,Sad People,4nuAslShoN77tq12fzwjUq
Kid Cudi,13/12/2020 13:06,31686,Elsie's Baby Boy (flashback),6jiwr6xTHqjdun5d3cEwXV
Kid Cudi,13/12/2020 13:10,249040,Sept. 16,3Uw2se3aQU1UFrpRBvBnB4
Kid Cudi,13/12/2020 13:15,262100,The Void,2yg7MXp8nSPaf61HVkhEr3
Kid Cudi,13/12/2020 13:17,165893,Lovin’ Me (feat. Phoebe Bridgers),3JdwGk8j7lHN5qdzJZklam
Kid Cudi,13/12/2020 13:20,176293,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Kid Cudi,13/12/2020 13:21,27080,Rockstar Knights (with Trippie Redd),4J9SI7do4KOEsCexqEbjmR
Kid Cudi,13/12/2020 13:23,135302,4 Da Kidz,
Kid Cudi,13/12/2020 13:27,206471,Lord I Know,
ATM Curly,13/12/2020 15:54,246256,Ride With Me,
Dreamville,13/12/2020 15:55,26913,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),
Ramirez,13/12/2020 15:56,38310,94.6 Kys Fm,0drEzR8tlPUyKeK4600AD1
Lucian,13/12/2020 15:56,44970,Money on Your Mind,2L3Is8ZtUJ48PIUJVO7Gvv
Keys N Krates,13/12/2020 15:58,90850,Evening at the Beach,6p5J7phoR7n1QnNevJcWvT
Allan Kingdom,13/12/2020 16:00,127220,Fuck My Enemies,0DLcjcjvUywWkPYseSdg7J
Lil Nas X,13/12/2020 16:02,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Lil Nas X,13/12/2020 16:03,8021,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Tjuvjakt,13/12/2020 16:03,0,Follow The Sun,029EUKiyaj03aIrcEKzP2l
Lil Nas X,13/12/2020 16:17,151554,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Tjuvjakt,13/12/2020 16:18,59556,Follow The Sun,029EUKiyaj03aIrcEKzP2l
Dilip,13/12/2020 16:20,130370,Cautious,1p7XRuOsf3SSibCoVTrNvJ
Psymun,13/12/2020 16:21,30469,NIGHT OWL,6Y9JFYyGCcD34RJ7gTMcQM
Ozer,13/12/2020 16:21,14770,Blow My High,2wn3panLbzOY3EPZm5o5gk
ATM Curly,13/12/2020 16:25,246256,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Kid Cudi,13/12/2020 16:28,199786,Another Day,6myUpr3GDR80Dg3zqNTmmG
Kid Cudi,13/12/2020 16:31,161417,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Lil Nas X,13/12/2020 18:47,148653,C7osure (You Like),
ATM Curly,13/12/2020 18:48,87926,Ride With Me,
Kid Cudi,13/12/2020 18:52,199786,Another Day,
Kid Cudi,13/12/2020 18:54,142333,"Solo Dolo, Pt. III",
Roddy Ricch,14/12/2020 9:24,15402,Down Below,
Caribou,14/12/2020 9:24,7146,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Kid Cudi,14/12/2020 9:24,37013,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
A Boogie Wit da Hoodie,14/12/2020 9:25,11925,Skeezers,2A4vCndSkZ3jd5nfh3a8gc
Jack Harlow,14/12/2020 9:25,11114,Tyler Herro,4DuUwzP4ALMqpquHU0ltAB
Petit Biscuit,14/12/2020 9:25,1770,Parachute,2XZn85D188f2bGdV3zmmrF
ATM Curly,14/12/2020 9:25,1983,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Kid Cudi,14/12/2020 9:25,6677,Another Day,6myUpr3GDR80Dg3zqNTmmG
Baby Keem,14/12/2020 9:25,6656,hooligan,02iYJG3KLBJODa5JkQ4O6y
Petit Biscuit,14/12/2020 9:25,10282,Burnin,5D246C2tLKCTeZgcsRfvcA
Kid Cudi,14/12/2020 9:38,193353,Another Day,6myUpr3GDR80Dg3zqNTmmG
Roddy Ricch,14/12/2020 9:41,850,Down Below,4SWWe2OYC4mqf40Gc2RSdl
Roddy Ricch,14/12/2020 9:41,188087,Down Below,4SWWe2OYC4mqf40Gc2RSdl
Caribou,14/12/2020 9:41,3970,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Caribou,14/12/2020 9:41,530,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Kid Cudi,14/12/2020 9:41,630,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Kid Cudi,14/12/2020 9:41,740,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Kid Cudi,14/12/2020 9:41,570,The Void,
Kid Cudi,14/12/2020 9:41,4750,"Solo Dolo, Pt. III",
ATM Curly,14/12/2020 9:45,246256,Ride With Me,
Kid Cudi,14/12/2020 9:49,199786,Another Day,
Kid Cudi,14/12/2020 9:51,118117,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Lil Nas X,14/12/2020 9:53,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
Caribou,14/12/2020 9:56,7342,Never Come Back,0QEG3NGmWatNOIAVxudQfd
Baby Keem,14/12/2020 9:56,156774,hooligan,02iYJG3KLBJODa5JkQ4O6y
BEAM,14/12/2020 9:58,132182,Cactus,1t741g1kw8T5lvupCmgddl
Billz Raw,14/12/2020 10:00,94427,Money Up,3AjcVMOBCmdqHciNuPmWhV
$NOT,14/12/2020 10:01,60720,GOSHA,0j8ppsOOawdPCJnSTcXgOy
Slyte,14/12/2020 10:02,105840,Late Pass (feat. Dominic Fike),5KrhLD0kGwxAExfPBaJXKb
Beast Coast,14/12/2020 10:06,45950,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",10nbIPV2SRLqEjIpvS8CVb
Mustard,14/12/2020 11:05,174100,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo
Don Toliver,14/12/2020 11:07,167915,After Party,527k23H0A4Q0UJN3vGs0Da
A$AP Rocky,14/12/2020 11:11,205040,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z
Fetty Wap,14/12/2020 11:14,188041,Birthday (feat. Monty),3VN7XvP708u6V9U0CxOlzi
Tory Lanez,14/12/2020 11:17,173926,Freaky,7EAaSaj1OgZgMX5yZyFXFC
Aminé,14/12/2020 11:19,121346,REEL IT IN,5qHirGR7M9tdm6C17DlzSY
Metro Boomin,14/12/2020 11:22,208293,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
Afroman,14/12/2020 11:28,328666,Crazy Rap (Colt 45 & 2 Zig Zags),
DJ Khaled,14/12/2020 11:29,41446,GREECE (feat. Drake),
JACKBOYS,14/12/2020 11:32,185306,WHAT TO DO? (feat. Don Toliver),
21 Savage,14/12/2020 11:35,195046,ball w/o you,
NAV,14/12/2020 11:39,217775,Price On My Head (feat. The Weeknd),4hqOmrCCJKyiuwDexd8c2t
Rick Ross,14/12/2020 11:41,153847,Gold Roses (feat. Drake),1rX5L6pyl3rVWb55D8Cprr
Don Toliver,14/12/2020 11:44,157133,Had Enough (feat. Quavo & Offset),7LGWmZaoS7jZJ5tEi9EcDi
Cordae,14/12/2020 11:46,124790,Bad Idea (feat. Chance the Rapper),5yK37zazHUe3WxEvymZs20
Cordae,14/12/2020 11:49,175827,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e
Cordae,14/12/2020 11:57,46920,Have Mercy,0GwYkXgQdqY4dyRffHw3HT
Gunna,14/12/2020 12:01,197760,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG
Don Toliver,14/12/2020 12:03,140063,Best You Had,4k7dYdLGhJuUjaeEQB5hcA
Lil Tecca,14/12/2020 12:05,131240,Ransom,1lOe9qE0vR9zwWQAOk6CoO
Jack Harlow,14/12/2020 12:07,89489,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM
A Boogie Wit da Hoodie,14/12/2020 12:10,189486,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6
Swae Lee,14/12/2020 12:14,218709,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa
Quality Control,14/12/2020 12:14,3378,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J
Dreamville,14/12/2020 12:14,3631,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",
PARTYNEXTDOOR,14/12/2020 12:17,197973,LOYAL (feat. Drake),
NAV,14/12/2020 12:17,25169,Tap (feat. Meek Mill),
J. Cole,14/12/2020 12:18,63367,The London (feat. J. Cole & Travis Scott),
Ty Dolla $ign,14/12/2020 12:21,163754,Purple Emoji (feat. J. Cole),
Metro Boomin,14/12/2020 12:25,203266,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
03 Greedo,14/12/2020 12:28,221395,Trap House (feat. Shoreline Mafia),1nq3DVmmYHGmO0NrAJdvnl
DJ Khaled,14/12/2020 12:32,200221,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq
Travis Scott,14/12/2020 12:34,164131,Hot (Remix) [feat. Gunna and Travis Scott],4ea9w8c4ROqiZpJVhfBA3m
A$AP Ferg,14/12/2020 12:35,12573,Jet Lag,2hyF1YWdX8yxExvRelT9nB
Roddy Ricch,14/12/2020 12:37,166359,Down Below,4SWWe2OYC4mqf40Gc2RSdl
YG,14/12/2020 12:41,227906,Hard Bottoms & White Socks,6CX0WrNFDyA5xM3wqWFAZV
Big Sean,14/12/2020 12:44,174656,Single Again,7IP0lO9tHfNwBWZ9X6TJ84
YG,14/12/2020 12:44,13188,"Go Loko (feat. Tyga, Jon Z)",1kK6DwzyXJSp58u5HYWwuD
NAV,14/12/2020 12:47,167543,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo
Roddy Ricch,14/12/2020 12:47,15313,Start Wit Me (feat. Gunna),7A20WnLkjtZU2d7hIB6Ziu
Future,14/12/2020 12:47,6280,Codeine Crazy,0joQFwiBKmi6X1Iq5R1ubH
Roddy Ricch,14/12/2020 12:49,100623,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm
A$AP Rocky,14/12/2020 12:52,158205,Sundress,2aPTvyE09vUCRwVvj0I8WK
Future,14/12/2020 12:53,90525,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc
Beast Coast,14/12/2020 19:22,142349,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",
RIN,14/12/2020 19:23,61180,Aretha Franklin Freestyle,
Westside Gunn,14/12/2020 19:24,61450,327,
Amber Mark,14/12/2020 19:27,186202,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
ATM Curly,14/12/2020 19:32,246256,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Pi’erre Bourne,14/12/2020 19:36,135510,Poof,4k95J448xydiVtD4PXMvpY
Alex Wiley,14/12/2020 19:38,120760,Hope Against Hope,7IPYvlNAQz4YEEFe1L372g
Reaper,14/12/2020 19:44,132370,HEADY,7whm7HQKG3d6oLYWgc0kf8
Reaper,14/12/2020 20:31,24300,HEADY,7whm7HQKG3d6oLYWgc0kf8
Amber Mark,14/12/2020 20:34,186202,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ
BEAM,14/12/2020 20:36,132182,Cactus,1t741g1kw8T5lvupCmgddl
Lil Nas X,14/12/2020 20:38,148653,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma
ATM Curly,14/12/2020 20:40,42071,Ride With Me,2foDaqiGEPFeYN2ecxLHZU
Kid Cudi,14/12/2020 22:22,199786,Another Day,6myUpr3GDR80Dg3zqNTmmG
Kid Cudi,14/12/2020 22:26,242266,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Kid Cudi,14/12/2020 22:29,200936,Lord I Know,7f2voPcnDEAzX4yB8SLnU2
Kid Cudi,14/12/2020 22:31,58660,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Future,15/12/2020 22:12,3239,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc
